k,n,metric,value,seqMode
3,4,"langContPruneShapeStatePool",15,"unary-cover-no-reassoc"
3,5,"strongTree",221,"unary-cover-no-reassoc"
3,5,"cubicTree",239,"unary-cover-no-reassoc"
3,5,"sharedShapeStatePool",42,"unary-cover-no-reassoc"
3,5,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,6,"strongTree",236,"unary-cover-no-reassoc"
3,6,"cubicTree",283,"unary-cover-no-reassoc"
3,6,"sharedShapeStatePool",45,"unary-cover-no-reassoc"
3,6,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,7,"strongTree",238,"unary-cover-no-reassoc"
3,7,"cubicTree",283,"unary-cover-no-reassoc"
3,7,"sharedShapeStatePool",46,"unary-cover-no-reassoc"
3,7,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,8,"strongTree",238,"unary-cover-no-reassoc"
3,8,"cubicTree",283,"unary-cover-no-reassoc"
3,8,"sharedShapeStatePool",47,"unary-cover-no-reassoc"
3,8,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,9,"strongTree",234,"unary-cover-no-reassoc"
3,9,"cubicTree",283,"unary-cover-no-reassoc"
3,9,"sharedShapeStatePool",48,"unary-cover-no-reassoc"
3,9,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,10,"strongTree",236,"unary-cover-no-reassoc"
3,10,"cubicTree",283,"unary-cover-no-reassoc"
3,10,"sharedShapeStatePool",49,"unary-cover-no-reassoc"
3,10,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,11,"strongTree",238,"unary-cover-no-reassoc"
3,11,"cubicTree",283,"unary-cover-no-reassoc"
3,11,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,11,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,12,"strongTree",236,"unary-cover-no-reassoc"
3,12,"cubicTree",283,"unary-cover-no-reassoc"
3,12,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,12,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,13,"strongTree",238,"unary-cover-no-reassoc"
3,13,"cubicTree",283,"unary-cover-no-reassoc"
3,13,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,13,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,14,"strongTree",238,"unary-cover-no-reassoc"
3,14,"cubicTree",283,"unary-cover-no-reassoc"
3,14,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,14,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,15,"strongTree",234,"unary-cover-no-reassoc"
3,15,"cubicTree",283,"unary-cover-no-reassoc"
3,15,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,15,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,16,"strongTree",236,"unary-cover-no-reassoc"
3,16,"cubicTree",283,"unary-cover-no-reassoc"
3,16,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,16,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,17,"strongTree",238,"unary-cover-no-reassoc"
3,17,"cubicTree",283,"unary-cover-no-reassoc"
3,17,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,17,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,18,"strongTree",236,"unary-cover-no-reassoc"
3,18,"cubicTree",283,"unary-cover-no-reassoc"
3,18,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,18,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,19,"strongTree",238,"unary-cover-no-reassoc"
3,19,"cubicTree",283,"unary-cover-no-reassoc"
3,19,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,19,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,20,"strongTree",238,"unary-cover-no-reassoc"
3,20,"cubicTree",283,"unary-cover-no-reassoc"
3,20,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,20,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,21,"strongTree",234,"unary-cover-no-reassoc"
3,21,"cubicTree",283,"unary-cover-no-reassoc"
3,21,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,21,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,22,"strongTree",236,"unary-cover-no-reassoc"
3,22,"cubicTree",283,"unary-cover-no-reassoc"
3,22,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,22,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,23,"strongTree",238,"unary-cover-no-reassoc"
3,23,"cubicTree",283,"unary-cover-no-reassoc"
3,23,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,23,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,24,"strongTree",236,"unary-cover-no-reassoc"
3,24,"cubicTree",283,"unary-cover-no-reassoc"
3,24,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,24,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,25,"strongTree",238,"unary-cover-no-reassoc"
3,25,"cubicTree",283,"unary-cover-no-reassoc"
3,25,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,25,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,26,"strongTree",238,"unary-cover-no-reassoc"
3,26,"cubicTree",283,"unary-cover-no-reassoc"
3,26,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,26,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,27,"strongTree",234,"unary-cover-no-reassoc"
3,27,"cubicTree",283,"unary-cover-no-reassoc"
3,27,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,27,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,28,"strongTree",236,"unary-cover-no-reassoc"
3,28,"cubicTree",283,"unary-cover-no-reassoc"
3,28,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,28,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,29,"strongTree",238,"unary-cover-no-reassoc"
3,29,"cubicTree",283,"unary-cover-no-reassoc"
3,29,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,29,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
3,30,"strongTree",236,"unary-cover-no-reassoc"
3,30,"cubicTree",283,"unary-cover-no-reassoc"
3,30,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
3,30,"langContPruneShapeStatePool",16,"unary-cover-no-reassoc"
4,0,"strongTree",33,"unary-cover-no-reassoc"
4,0,"cubicTree",33,"unary-cover-no-reassoc"
4,0,"sharedShapeStatePool",15,"unary-cover-no-reassoc"
4,0,"langContPruneShapeStatePool",4,"unary-cover-no-reassoc"
4,1,"strongTree",79,"unary-cover-no-reassoc"
4,1,"cubicTree",80,"unary-cover-no-reassoc"
4,1,"sharedShapeStatePool",31,"unary-cover-no-reassoc"
4,1,"langContPruneShapeStatePool",14,"unary-cover-no-reassoc"
4,2,"strongTree",184,"unary-cover-no-reassoc"
4,2,"cubicTree",155,"unary-cover-no-reassoc"
4,2,"sharedShapeStatePool",37,"unary-cover-no-reassoc"
4,2,"langContPruneShapeStatePool",17,"unary-cover-no-reassoc"
4,3,"strongTree",253,"unary-cover-no-reassoc"
4,3,"cubicTree",227,"unary-cover-no-reassoc"
4,3,"sharedShapeStatePool",42,"unary-cover-no-reassoc"
4,3,"langContPruneShapeStatePool",19,"unary-cover-no-reassoc"
4,4,"strongTree",316,"unary-cover-no-reassoc"
4,4,"cubicTree",299,"unary-cover-no-reassoc"
4,4,"sharedShapeStatePool",46,"unary-cover-no-reassoc"
4,4,"langContPruneShapeStatePool",20,"unary-cover-no-reassoc"
4,5,"strongTree",349,"unary-cover-no-reassoc"
4,5,"cubicTree",377,"unary-cover-no-reassoc"
4,5,"sharedShapeStatePool",50,"unary-cover-no-reassoc"
4,5,"langContPruneShapeStatePool",21,"unary-cover-no-reassoc"
4,6,"strongTree",358,"unary-cover-no-reassoc"
4,6,"cubicTree",449,"unary-cover-no-reassoc"
4,6,"sharedShapeStatePool",54,"unary-cover-no-reassoc"
4,6,"langContPruneShapeStatePool",22,"unary-cover-no-reassoc"
4,7,"strongTree",364,"unary-cover-no-reassoc"
4,7,"cubicTree",525,"unary-cover-no-reassoc"
4,7,"sharedShapeStatePool",58,"unary-cover-no-reassoc"
4,7,"langContPruneShapeStatePool",23,"unary-cover-no-reassoc"
4,8,"strongTree",408,"unary-cover-no-reassoc"
4,8,"cubicTree",595,"unary-cover-no-reassoc"
4,8,"sharedShapeStatePool",62,"unary-cover-no-reassoc"
4,8,"langContPruneShapeStatePool",24,"unary-cover-no-reassoc"
4,9,"strongTree",437,"unary-cover-no-reassoc"
4,9,"cubicTree",671,"unary-cover-no-reassoc"
4,9,"sharedShapeStatePool",66,"unary-cover-no-reassoc"
4,9,"langContPruneShapeStatePool",25,"unary-cover-no-reassoc"
4,10,"strongTree",425,"unary-cover-no-reassoc"
4,10,"cubicTree",747,"unary-cover-no-reassoc"
4,10,"sharedShapeStatePool",70,"unary-cover-no-reassoc"
4,10,"langContPruneShapeStatePool",26,"unary-cover-no-reassoc"
