k,n,metric,value,seqMode
8,24,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,28,"strongMemoTree",2642,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveRowDagUniverse",91,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveComponentOwner",69,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveRows",8,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActivePairBudget",50,"unary-cover-no-reassoc"
8,32,"strongMemoTree",2879,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveRowDagUniverse",91,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,36,"strongMemoTree",2837,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActiveRowDagUniverse",96,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,40,"strongMemoTree",2968,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActiveRowDagUniverse",93,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,44,"strongMemoTree",2932,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActiveRowDagUniverse",90,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,48,"strongMemoTree",2963,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActiveRowDagUniverse",90,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActiveComponentOwner",69,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActiveRows",8,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActivePairBudget",50,"unary-cover-no-reassoc"
8,52,"strongMemoTree",3035,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActiveRowDagUniverse",92,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,56,"strongMemoTree",3060,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActiveRowDagUniverse",93,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActiveComponentOwner",69,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActiveRows",8,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActivePairBudget",50,"unary-cover-no-reassoc"
8,60,"strongMemoTree",3120,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActiveRowDagUniverse",90,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,64,"strongMemoTree",3245,"unary-cover-no-reassoc"
8,64,"strongMemoFinalActiveRowDagUniverse",97,"unary-cover-no-reassoc"
8,64,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
