k,n,metric,value,seqMode
5,88,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,88,"strongMemoStates",12636,"unary-cover-no-reassoc"
5,88,"strongMemoSplitProbes",125665,"unary-cover-no-reassoc"
5,88,"strongMemoSpanBound",364366,"unary-cover-no-reassoc"
5,88,"strongMemoSplitBound",32428574,"unary-cover-no-reassoc"
5,92,"strongMemoTree",901,"unary-cover-no-reassoc"
5,92,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,92,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,92,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,92,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,92,"strongMemoStates",13762,"unary-cover-no-reassoc"
5,92,"strongMemoSplitProbes",142969,"unary-cover-no-reassoc"
5,92,"strongMemoSpanBound",397854,"unary-cover-no-reassoc"
5,92,"strongMemoSplitBound",37000422,"unary-cover-no-reassoc"
5,96,"strongMemoTree",947,"unary-cover-no-reassoc"
5,96,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,96,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,96,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,96,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,96,"strongMemoStates",14936,"unary-cover-no-reassoc"
5,96,"strongMemoSplitProbes",161793,"unary-cover-no-reassoc"
5,96,"strongMemoSpanBound",432814,"unary-cover-no-reassoc"
5,96,"strongMemoSplitBound",41982958,"unary-cover-no-reassoc"
5,100,"strongMemoTree",957,"unary-cover-no-reassoc"
5,100,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,100,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,100,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,100,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,100,"strongMemoStates",16158,"unary-cover-no-reassoc"
5,100,"strongMemoSplitProbes",182201,"unary-cover-no-reassoc"
5,100,"strongMemoSpanBound",469246,"unary-cover-no-reassoc"
5,100,"strongMemoSplitBound",47393846,"unary-cover-no-reassoc"
5,104,"strongMemoTree",959,"unary-cover-no-reassoc"
5,104,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,104,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,104,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,104,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,104,"strongMemoStates",17428,"unary-cover-no-reassoc"
5,104,"strongMemoSplitProbes",204257,"unary-cover-no-reassoc"
5,104,"strongMemoSpanBound",507150,"unary-cover-no-reassoc"
5,104,"strongMemoSplitBound",53250750,"unary-cover-no-reassoc"
5,108,"strongMemoTree",903,"unary-cover-no-reassoc"
5,108,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,108,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,108,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,108,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,108,"strongMemoStates",18746,"unary-cover-no-reassoc"
5,108,"strongMemoSplitProbes",228025,"unary-cover-no-reassoc"
5,108,"strongMemoSpanBound",546526,"unary-cover-no-reassoc"
5,108,"strongMemoSplitBound",59571334,"unary-cover-no-reassoc"
5,112,"strongMemoTree",947,"unary-cover-no-reassoc"
5,112,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,112,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,112,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,112,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,112,"strongMemoStates",20112,"unary-cover-no-reassoc"
5,112,"strongMemoSplitProbes",253569,"unary-cover-no-reassoc"
5,112,"strongMemoSpanBound",587374,"unary-cover-no-reassoc"
5,112,"strongMemoSplitBound",66373262,"unary-cover-no-reassoc"
